"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM","# of Units","Change Date"
"","","COMP23121642","469","INC","S","603  E COLUMBIA AVE ","POMONA","2","1.00 (1 0 0 0)","2,815","$159.50","$449,000","$449,000","","6,942","1923","0","2","03/07/2023"
"","","COMP23121743","469","INC","S","777  E 3RD ST ","POMONA","99","99.00 (99 0 0 0)","113,008","$1,322.03","$149,400,000","$149,400,000","","167,895","1986","0","192","03/07/2023"
"","","COMP23122168","469","INC","S","1060  S REBECCA ST ","POMONA","4","2.00 (2 0 0 0)","1,384","$505.78","$700,000","$700,000","","6,576","1939","0","2","03/07/2023"
"","","COMP23122200","469","INC","S","2161  N TOWNE AVE ","POMONA","13","12.00 (12 0 0 0)","6,149","$468.37","$2,880,000","$2,880,000","","8,536","1962","0","6","03/07/2023"
"","","COMP23122597","469","INC","S","895  E 9TH ST ","POMONA","3","2.00 (2 0 0 0)","1,298","$362.10","$470,000","$470,000","","6,634","1946","0","2","03/07/2023"
"","","COMP23122627","469","INC","S","1530   HOLLY WAY ","POMONA","8","4.00 (4 0 0 0)","4,400","$1,709.09","$7,520,000","$7,520,000","","9,744","1964","0","4","03/07/2023"
"","","COMP23122974","469","INC","S","2167  N TOWNE AVE ","POMONA","13","12.00 (12 0 0 0)","6,149","$468.37","$2,880,000","$2,880,000","","8,524","1962","0","6","03/07/2023"
"","","COMP23123251","469","INC","S","1092  E PHILLIPS BLVD ","POMONA","8","4.00 (4 0 0 0)","4,232","$1,776.94","$7,520,000","$7,520,000","","8,913","1964","0","4","03/07/2023"
"","","COMP23123264","469","INC","S","902   PAINTER CT ","POMONA","12","6.00 (6 0 0 0)","5,072","$4,978.31","$25,250,000","$25,250,000","","14,463","1964","0","6","03/07/2023"
"","","COMP23123746","469","INC","S","1416   PACKARD DR ","POMONA","12","6.00 (6 0 0 0)","5,072","$4,978.31","$25,250,000","$25,250,000","","15,619","1964","0","6","03/07/2023"
"","","COMP23124236","469","INC","S","1062  S MAIN ST ","POMONA","6","2.00 (2 0 0 0)","1,587","$387.52","$615,000","$615,000","","7,648","1906","0","2","03/07/2023"
"","","COMP23124483","469","INC","S","510  E 3RD ST ","POMONA","99","99.00 (99 0 0 0)","72,707","$321.84","$23,400,000","$23,400,000","","34,155","2005","0","100","03/07/2023"
"","","COMP23124748","469","INC","S","740   HAWTHORNE PL ","POMONA","2","2.00 (2 0 0 0)","1,232","$466.72","$575,000","$575,000","","6,491","1947","0","2","03/07/2023"
"","","COMP23124908","469","INC","S","1414   PACKARD DR ","POMONA","6","3.00 (3 0 0 0)","2,536","$9,956.62","$25,250,000","$25,250,000","","8,340","1964","0","3","03/07/2023"
"","","COMP23125002","487","INC","S","468  W 7TH ST ","CLAREMONT","4","3.00 (3 0 0 0)","2,366","$422.65","$1,000,000","$1,000,000","","7,500","1956","0","2","03/07/2023"
"","","COMP23125234","469","INC","S","1124  W FERNLEAF AVE ","POMONA","1","1.00 (1 0 0 0)","1,400","$413.57","$579,000","$579,000","","6,403","1947","0","2","03/07/2023"
"","","COMP23125702","469","INC","S","1079   PATTERSON ST ","POMONA",""," (0 0 0 0)","1,444","$5,207.76","$7,520,000","$7,520,000","","1,539","1992","0","","03/07/2023"
"","","COMP23125952","469","INC","S","1924   BOBOLINK WAY ","POMONA","4","2.00 (2 0 0 0)","2,016","$1,829.12","$3,687,500","$3,687,500","","8,005","1963","0","2","03/07/2023"
